space;file;score_work;score_doc;score_overall;plus;minus;verdict;po_issue
ECOSYSTEM;SIgnOnline.pdf;1;1;1;;Пустая страница | Опечатка в названии SIgnOnline;Мусорный/пустой артефакт в пространстве.;high
ECOSYSTEM;Цифровое страхование VisionРИ.pdf;1;1;1;;Практически пустая страница (~30 слов) | Vision как артефакт отсутствует;Заглушка. Нельзя ссылаться как на согласованный Vision.;critical
SMP;ump-delete-documents-ncins-pa-ncins-pa Удаление документов.pdf;1;1;1;;Почти пусто | Двойной суффикс ncins-pa в имени — признак хаоса;Страница процесса-пустышка.;critical
SFACRM;Некредитное страхование ЮЛ. Системная архитектура.pdf;2;2;2;Заведены заголовки процессов (UMP / SFA.CRM);Фактически пусто: только метаданные draw.io/Confluence (true/false/auto/top/размеры) | Нет потоков, компонентов, очередей, контрактов | Чек-лист помечает архитектуру как согласованную — риск формального «галочного» согласования;Архитектура не документирована текстом. Диаграммы не экспортировались/не описаны.;critical
SMP;Camunda connector Завершение процесса 51f0a3c5c911.pdf;2;2;2;;~50 слов | Три одинаковых connector-страницы;Пустышка.;high
SMP;Camunda connector Завершение процесса 972e9cb48eb4.pdf;2;2;2;;Дубль stub;Пустышка.;high
SMP;Camunda connector Завершение процесса edec5d708ded.pdf;2;2;2;;Дубль stub;Пустышка.;high
SMP;End Event Завершение процесса ab0c5ceb9a7a.pdf;2;2;2;;Пустая end-event страница;Не несёт аналитической ценности.;low
SMP;Timer Start Event Старт процесса завершения заявки по таймер 121353eb1aad.pdf;2;2;2;;"Stub; 3 копии timer start";Нет cron/SLA/условий таймера.;high
SMP;Timer Start Event Старт процесса завершения заявки по таймер 3203e23c5e6a.pdf;2;2;2;;Stub/дубль;Пустышка.;high
SMP;Timer Start Event Старт процесса завершения заявки по таймер 4d414ead8b15.pdf;2;2;2;;Stub/дубль;Пустышка.;high
SMP;ump-main-ma-ncins-pa Управление процессом мультизаявки по некредитному страхованию.pdf;2;2;2;Название процесса важное;~60 слов — нет схемы/шагов/переменных;Ключевой процесс не описан на своей странице.;critical
SMP;Копия НТ пререквизиты Worker ump-finalisation-ncins-pa.pdf;2;1;2;;Прямо названа «Копия» | Засоряет пространство | Риск правки не того файла;Мусорный дубль.;high
SMP;НТ пререквизиты Worker ump-delete-documents-ncins-pa.pdf;2;2;2;;Копипаст | Delete-сценарий не описан;Копипаст НТ.;critical
SMP;НТ пререквизиты Worker ump-main-ncins-pa.pdf;2;2;2;;Идентичен 5 другим «НТ Worker …» файлам (копипаст) | Имя файла не соответствует содержимому | Вводит команду в заблуждение по объёму НТ;Критичный процессный косяк: фейковая персонализация НТ.;critical
SMP;НТ пререквизиты Worker ump-payment-ncins-pa.pdf;2;2;2;;Копипаст того же шаблона | Payment-специфика не раскрыта;То же: документ-заглушка под чужим именем.;critical
SMP;НТ пререквизиты Worker ump-prepare-documents-ncins-pa.pdf;2;2;2;;Копипаст (есть и нормальная версия с «- Worker») | Дубль создаёт конфликт источников истины;Дублирование + копипаст.;high
SMP;НТ пререквизиты Worker ump-signing-documents-ncins-pa.pdf;2;2;2;;Копипаст;Копипаст НТ.;critical
INTSYS;Анкета на масштабирование AlfaCaptureЭА.pdf;4;3;3;Большой объём данных анкеты;170 стр. выгрузки формы — шум для команды продукта | Не заменяет архитектуру/требования;Не использовать как «доказательство проработки» решения НС ЮЛ.;medium
